기준연월,지역명,방문자 수,숙박방문자 수,신용카드 소비액(천원),식음료업(천원),쇼핑업(천원),숙박업(천원),여가서비스업(천원),운송업(천원),여행업(천원),무박,1박,2박,3박이상,평균 체류시간(분),동행자유형언급(기타가족),동행자유형언급(친구),동행자유형언급(부모님),동행자유형언급(회사동료),동행자유형언급(싱글),동행자유형언급(자녀),동행자유형언급(연인),동행자유형언급(배우자),동행자유형언급(학생),SNS 검색량(건),목적지 유형 검색량(숙박),목적지 유형 검색량(음식),목적지 유형 검색량(기타관광),목적지 유형 검색량(쇼핑),목적지 유형 검색량(자연관광),목적지 유형 검색량(문화관광),목적지 유형 검색량(역사관광),목적지 유형 검색량(체험관광),목적지 유형 검색량(레저스포츠),여행유형/트렌드별 검색량(레포츠),여행유형/트렌드별 검색량(휴식/힐링),여행유형/트렌드별 검색량(체험),여행유형/트렌드별 검색량(미식),여행유형/트렌드별 검색량(기타)
2018년01월,강원도 강릉시 ,2467762,414591,14220150,9347520,299159,1414465,431930,28775,5872,2053170,319972,50459,44160,286,8107,3214,3151,2808,1495,4878,1774,1585,760,40398,21796,80153,829,23733,36043,28039,1182,1116,8662,6739,2945,919,628,1395
2018년02월,강원도 강릉시 ,3100165,484107,13567573,9374136,2730917,1074072,356156,30733,1559,2616058,344582,70451,69074,293,15577,5115,5728,6149,10420,8669,2228,2543,1325,73135,20112,80491,999,19924,22875,24202,1049,613,28391,9635,3000,714,546,1486
2018년03월,강원도 강릉시 ,2640196,419178,14881446,9497487,3328785,1398589,629109,23683,3792,2221017,313340,61276,44563,314,11051,2843,2929,2540,1331,6051,1355,1918,708,40572,19353,77444,1204,20350,30260,21217,1829,1093,12009,5668,2362,388,523,905
2018년04월,강원도 강릉시 ,2240230,382550,14984917,9645479,3111638,1472622,707700,33383,14095,1857679,309987,47022,25541,268,6024,2607,2721,1345,847,2090,1204,1171,652,25257,38265,104925,2944,27382,56415,20613,11574,1548,9276,2448,2216,590,544,798
2018년05월,강원도 강릉시 ,2594365,473350,16381068,10502482,3310698,1718209,796171,48476,5032,2121015,371659,67599,34092,281,6537,2723,2602,1614,1141,2280,1315,1344,481,28604,48471,130079,4028,33713,74911,29191,14994,3277,12386,3934,2674,481,694,784
2018년06월,강원도 강릉시 ,2472496,473831,17202846,9895692,2836556,1733527,793779,36123,5088,1998665,381949,60982,30900,292,6331,3084,2394,1446,1118,2423,1467,1483,445,28902,49011,112921,3981,29445,68108,25761,8966,2525,11108,3649,2934,382,1022,724
2018년07월,강원도 강릉시 ,2861397,584486,17202846,11056768,2996389,2327354,771746,44882,5707,2276911,434087,107818,42581,328,9146,4548,3398,2212,1497,3284,1986,1874,924,40457,69536,149645,4145,38766,82083,25021,9810,3053,8556,5261,3724,522,1001,1080
2018년08월,강원도 강릉시 ,3655880,812727,22657794,15203052,3397005,3018380,990709,45153,3494,2843152,594481,158542,59705,345,11674,4987,4693,3166,1831,3804,2419,2150,884,47922,103833,227298,6348,55093,119695,40255,14793,5824,11547,5462,4496,378,960,1018
2018년09월,강원도 강릉시 ,2793378,541723,15777338,9828953,3279013,1856119,772720,38304,2229,22516550,401315,87538,52869,320,9106,3611,3778,1731,1578,3062,1764,1600,733,37111,47731,115324,3273,31714,62561,23008,9372,3447,8589,4371,3777,391,584,1025
2018년10월,강원도 강릉시 ,2416983,417487,15261154,9358369,3301300,1732392,828265,31888,8940,1999495,340625,50391,26472,268,7831,3271,3178,1689,1498,2936,1698,1598,1239,36988,46831,110201,3552,30271,62457,24288,9806,2735,11242,5351,3918,419,752,1610
2018년11월,강원도 강릉시 ,2036014,396657,13733538,8263974,3191741,1525899,718623,33301,0,1639357,315669,54076,26912,307,8017,4201,3298,1807,1360,2848,1749,1628,890,36330,40311,91962,1740,27225,45002,18624,7047,1797,7969,4036,3713,751,711,1321
2018년12월,강원도 강릉시 ,2383321,533562,16596913,10246193,3404813,2220548,684140,39348,1870,1849759,438936,61411,33215,325,9923,5486,4919,3016,1572,8450,2260,1677,1512,53174,58195,138957,2065,38848,59383,27887,8423,2073,8035,5008,3772,652,856,1817
2019년01월,강원도 강릉시 ,2538092,455227,15295436,10014716,2704150,2010682,540939,24949,0,2082865,370827,53215,31185,316,10452,4752,4020,2305,2102,3688,2501,2132,3766,46556,51618,134904,23474,30163,38884,71112,9152,2015,10101,4719,4348,348,1767,1910
2019년02월,강원도 강릉시 ,2553697,575727,15820138,10215101,2707286,2256255,609045,30451,2000,1977970,430513,89421,55794,369,9087,4150,3598,2136,1651,3143,2210,1674,1819,41130,59783,148159,2425,41868,64682,29457,10659,2256,9972,3701,3778,354,2399,1430
2019년03월,강원도 강릉시 ,2744947,476730,15774794,10178052,3029395,1781789,751477,33843,238,2268217,361872,60529,54329,328,8922,4388,3602,1981,1779,3572,2356,1676,1272,41096,52694,141429,2911,40171,65647,25848,11496,2287,9751,3606,4001,380,1698,1863
2019년04월,강원도 강릉시 ,2030935,363279,13511485,8428421,2750099,1577645,726546,23174,5600,1667656,289118,48493,25669,287,11001,4654,4451,5503,1815,4935,2305,2167,1025,49847,45037,100505,3095,29666,44487,17286,10652,1538,7980,4859,3747,820,1297,1268
2019년05월,강원도 강릉시 ,2305446,441283,16776779,10400032,3374945,2040147,933343,27513,800,1864163,348549,62273,30460,297,9816,4160,3811,3126,1726,3568,2437,1821,871,42688,61095,133848,4928,38828,67059,26366,13417,2756,12624,4045,4147,711,1096,1353
2019년06월,강원도 강릉시 ,2507693,493170,16544673,10728463,2745105,2124386,916597,24571,5550,2014522,381814,69153,42203,322,8679,4461,3399,2313,1515,3214,2069,1948,885,40982,71643,153606,4525,42816,69966,38051,11457,2818,12604,4284,4377,471,2238,1129
2019년07월,강원도 강릉시 ,2901443,607368,18482534,11783814,2902061,2833082,937624,24078,1875,2294075,441300,109452,56616,358,10690,5630,4172,2745,1774,3714,2844,2014,1273,51475,93258,187082,5064,52953,80694,28136,11175,2920,13519,6438,5505,745,2513,1418
2019년08월,강원도 강릉시 ,4356849,904045,25253763,17103504,3962189,3026279,1116635,45155,0,3452805,656815,172882,74347,350,13826,6614,5429,2781,2269,5072,3222,2497,1379,60093,146516,297670,8129,82462,137692,49865,17920,7285,22155,6761,5966,567,1814,1896
