광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
경기도,남양주시,651398.0
경기도,화성시,598139.0
경기도,성남시 분당구,473410.0
경기도,부천시,466686.0
경기도,광주시,429134.0
경기도,용인시 기흥구,417887.0
경기도,의정부시,345815.0
경기도,이천시,334535.0
경기도,평택시,330889.0
경기도,고양시 덕양구,309774.0
경기도,용인시 수지구,306796.0
경기도,김포시,296222.0
경기도,하남시,290724.0
경기도,용인시 처인구,289385.0
경기도,수원시 영통구,276220.0
경기도,수원시 권선구,274060.0
경기도,파주시,263958.0
경기도,시흥시,263750.0
경기도,여주시,225653.0
경기도,안양시 동안구,222703.0
경기도,고양시 일산동구,214569.0
경기도,성남시 수정구,199011.0
경기도,구리시,198724.0
경기도,안산시 상록구,195695.0
경기도,안산시 단원구,194498.0
경기도,수원시 장안구,187772.0
경기도,군포시,182772.0
경기도,양주시,181542.0
경기도,고양시 일산서구,178876.0
경기도,양평군,172715.0
경기도,오산시,163964.0
경기도,성남시 중원구,158405.0
경기도,수원시 팔달구,154883.0
경기도,광명시,154714.0
경기도,안성시,144758.0
경기도,포천시,140134.0
경기도,안양시 만안구,133713.0
경기도,의왕시,110821.0
경기도,가평군,81308.0
경기도,과천시,66396.0
경기도,동두천시,57789.0
경기도,연천군,36661.0
강원도,동해시,1849781.0
강원도,원주시,1293071.0
강원도,평창군,1071639.0
강원도,양양군,922468.0
강원도,속초시,895648.0
강원도,삼척시,845241.0
강원도,춘천시,807211.0
강원도,정선군,525741.0
강원도,태백시,338215.0
강원도,고성군,259259.0
강원도,횡성군,154945.0
강원도,홍천군,151849.0
강원도,인제군,120548.0
강원도,영월군,84469.0
강원도,철원군,54262.0
강원도,양구군,53331.0
강원도,화천군,40508.0
서울특별시,송파구,602882.0
서울특별시,강남구,462534.0
서울특별시,강동구,414960.0
서울특별시,관악구,409649.0
서울특별시,노원구,397434.0
서울특별시,강서구,354308.0
서울특별시,성북구,339858.0
서울특별시,서초구,325884.0
서울특별시,광진구,308367.0
서울특별시,중랑구,304828.0
서울특별시,동작구,304751.0
서울특별시,은평구,303752.0
서울특별시,마포구,296063.0
서울특별시,동대문구,286146.0
서울특별시,영등포구,283491.0
서울특별시,서대문구,251514.0
서울특별시,성동구,244844.0
서울특별시,구로구,234512.0
서울특별시,양천구,234171.0
서울특별시,도봉구,199067.0
서울특별시,강북구,196182.0
서울특별시,용산구,185922.0
서울특별시,종로구,131667.0
서울특별시,금천구,131577.0
서울특별시,중구,106397.0
인천광역시,서구,348153.0
인천광역시,남동구,249928.0
인천광역시,부평구,241013.0
인천광역시,미추홀구,195577.0
인천광역시,연수구,191259.0
인천광역시,계양구,149547.0
인천광역시,중구,96019.0
인천광역시,강화군,42466.0
인천광역시,동구,20007.0
인천광역시,옹진군,13515.0
충청북도,충주시,302272.0
충청북도,제천시,161023.0
충청북도,청주시 흥덕구,136513.0
충청북도,청주시 청원구,121546.0
충청북도,음성군,118184.0
충청북도,청주시 서원구,109170.0
충청북도,청주시 상당구,83235.0
충청북도,진천군,59628.0
충청북도,단양군,34567.0
충청북도,괴산군,28721.0
충청북도,증평군,27181.0
충청북도,옥천군,15966.0
충청북도,영동군,11943.0
충청북도,보은군,11822.0
