광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
경상남도,김해시,1.8535495E7
경상남도,양산시,1.8340499E7
경상남도,거제시,6482905.0
경상남도,창원시 진해구,5428032.0
경상남도,창원시 성산구,3681183.0
경상남도,창원시 의창구,2941555.0
경상남도,진주시,2689466.0
경상남도,밀양시,2253712.0
경상남도,창원시 마산회원구,2063868.0
경상남도,창원시 마산합포구,1906885.0
경상남도,통영시,1381096.0
경상남도,사천시,913608.0
경상남도,함안군,799005.0
경상남도,창녕군,664425.0
경상남도,남해군,534780.0
경상남도,고성군,515534.0
경상남도,의령군,370296.0
경상남도,거창군,362059.0
경상남도,합천군,354679.0
경상남도,하동군,340978.0
경상남도,함양군,325211.0
경상남도,산청군,303613.0
경기도,화성시,1752123.0
경기도,평택시,1421413.0
경기도,성남시 분당구,1338673.0
경기도,부천시,1194912.0
경기도,남양주시,1063386.0
경기도,용인시 기흥구,1030412.0
경기도,김포시,916988.0
경기도,용인시 수지구,872432.0
경기도,고양시 덕양구,866690.0
경기도,수원시 영통구,856874.0
경기도,파주시,686157.0
경기도,하남시,659813.0
경기도,시흥시,659317.0
경기도,수원시 권선구,657796.0
경기도,광주시,651959.0
경기도,고양시 일산동구,646793.0
경기도,안양시 동안구,618866.0
경기도,의정부시,602656.0
경기도,용인시 처인구,529439.0
경기도,성남시 수정구,526959.0
경기도,고양시 일산서구,504123.0
경기도,수원시 장안구,489110.0
경기도,군포시,466243.0
경기도,안산시 단원구,461944.0
경기도,안산시 상록구,456466.0
경기도,수원시 팔달구,442367.0
경기도,오산시,434573.0
경기도,광명시,434252.0
경기도,이천시,407010.0
경기도,구리시,367539.0
경기도,안양시 만안구,365258.0
경기도,성남시 중원구,353517.0
경기도,안성시,334135.0
경기도,양주시,318550.0
경기도,의왕시,279949.0
경기도,포천시,205600.0
경기도,여주시,190993.0
경기도,양평군,182382.0
경기도,과천시,181972.0
경기도,가평군,116662.0
경기도,동두천시,99739.0
경기도,연천군,83978.0
서울특별시,강남구,1969093.0
서울특별시,송파구,1855455.0
서울특별시,관악구,1685772.0
서울특별시,강서구,1401075.0
서울특별시,마포구,1281890.0
서울특별시,서초구,1263273.0
서울특별시,영등포구,1192252.0
서울특별시,동작구,1084805.0
서울특별시,강동구,1042936.0
서울특별시,성북구,1010988.0
서울특별시,서대문구,1010585.0
서울특별시,광진구,952687.0
서울특별시,노원구,927176.0
서울특별시,동대문구,923417.0
서울특별시,은평구,892442.0
서울특별시,성동구,857129.0
서울특별시,용산구,798856.0
서울특별시,구로구,749233.0
서울특별시,양천구,737905.0
서울특별시,중랑구,628203.0
서울특별시,종로구,546414.0
서울특별시,강북구,482459.0
서울특별시,금천구,448632.0
서울특별시,중구,439079.0
서울특별시,도봉구,422949.0
울산광역시,울주군,5043651.0
울산광역시,남구,4891915.0
울산광역시,북구,2452303.0
울산광역시,중구,2353860.0
울산광역시,동구,1841031.0
경상북도,경주시,2294342.0
경상북도,포항시 북구,1656315.0
경상북도,경산시,1587009.0
경상북도,구미시,1461054.0
경상북도,포항시 남구,1438191.0
경상북도,안동시,528938.0
경상북도,김천시,494796.0
경상북도,울진군,431890.0
경상북도,영천시,395827.0
경상북도,칠곡군,387942.0
경상북도,청도군,374678.0
경상북도,영주시,275468.0
경상북도,상주시,265840.0
경상북도,영덕군,209842.0
경상북도,예천군,180125.0
경상북도,문경시,145519.0
경상북도,의성군,130026.0
경상북도,청송군,124953.0
경상북도,성주군,124371.0
경상북도,고령군,86106.0
경상북도,울릉군,81666.0
경상북도,군위군,68027.0
경상북도,영양군,67553.0
경상북도,봉화군,62143.0
대구광역시,수성구,2078622.0
대구광역시,달서구,2075006.0
대구광역시,북구,1929920.0
대구광역시,동구,1557484.0
대구광역시,달성군,1097465.0
대구광역시,남구,600592.0
대구광역시,중구,501160.0
대구광역시,서구,441359.0
전라남도,여수시,798707.0
전라남도,순천시,737857.0
전라남도,광양시,666763.0
전라남도,목포시,499332.0
전라남도,나주시,234041.0
전라남도,무안군,212956.0
전라남도,완도군,141622.0
전라남도,고흥군,132550.0
전라남도,영암군,125962.0
전라남도,영광군,98780.0
전라남도,화순군,96228.0
전라남도,해남군,94311.0
전라남도,장흥군,89611.0
전라남도,장성군,85336.0
전라남도,보성군,73523.0
전라남도,강진군,71214.0
